,train/loss,train/loss_step,train/loss_epoch,nfe,integ_error,test/loss,test_vec/rfm_loss,test_vec/alignment,test_vec/finite_fraction,test_vec/norm_mean,test_vec/norm_max,test_vec/norm_std,test_vec/norm_p95,test_vec/tangency_violation_abs,test_vec/tangency_violation_rel,test_sample/sinkhorn_knopp,test_sample/tangent_sinkhorn_knopp,test_sample/tangent_to_geodesic_sinkhorn_ratio,test_sample/epsilon_coverage,test_sample/epsilon_precision,test_sample/frechet_variance_pred,test_sample/frechet_variance_target,test_sample/frechet_variance_ratio,test_sample/dispersion_predicted,test_sample/dispersion_target,test_sample/dispersion_ratio,test_sample/volume_scaling_mean_pred,test_sample/volume_scaling_mean_target,test_sample/volume_scaling_variance_pred,test_sample/volume_scaling_variance_target,test_sample/volume_scaling_gap_target_minus_pred,test_sample/volume_scaling_mean_start,test_sample/volume_scaling_variance_start,test_sample/volume_scaling_gap_start_target,test_sample/finite_fraction,test_sample/geodesic_dist,manifold,curvature,dim,x0_dist,x1_dist,n_samples,std_x0,std_x1,mean_x0,mean_x1,radius_x1,weights,origin,normalize_tangent_distributions,val/rfm_loss,val/rfm_loss_epoch,val/loss,val/loss_epoch,val/loss_best
general__euc_d16_s34,0.011233462952077389,0.01112664770334959,0.011233462952077389,20.0,0.0,15.41831111907959,0.2504345774650574,0.0,1.0,0.5003857612609863,0.524027407169342,0.006975899450480938,0.5118532180786133,0.0,0.0,0.7696860432624817,0.7696860432624817,1.0,0.4959999918937683,0.49433332681655884,0.09020358324050903,0.09001237154006958,1.002124309539795,1.6725614070892334,1.6710337400436401,1.0009143352508545,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6708621978759766,euclidean,0.0,16,gaussian,gaussian,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False,,,,,
general__euc_d16_s42,0.011172688566148281,0.011391094885766506,0.011172688566148281,36.5,0.0,15.457365036010742,0.26932117342948914,0.0,1.0,0.4977741241455078,1.2862719297409058,0.14654041826725006,0.8023917078971863,0.0,0.0,0.7744393944740295,0.7744393944740295,1.0,0.49433332681655884,0.5034999847412109,0.0913340225815773,0.08987757563591003,1.016204833984375,1.6812962293624878,1.669467568397522,1.0070853233337402,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6772308349609375,euclidean,0.0,16,gaussian,gaussian,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False,0.011152449063956738,0.011152449063956738,15.455936431884766,15.455936431884766,15.455934524536133
general__euc_d16_s50,0.011166049167513847,0.010879063978791237,0.011166049167513847,36.5,0.0,15.441756248474121,0.2708667516708374,0.0,1.0,0.4985116720199585,1.3032786846160889,0.1491159200668335,0.8078886866569519,0.0,0.0,0.7772974967956543,0.7772974967956543,1.0,0.4934999942779541,0.49133333563804626,0.09199024736881256,0.09045828133821487,1.0169354677200317,1.6879013776779175,1.6748965978622437,1.007764458656311,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6774719953536987,euclidean,0.0,16,gaussian,gaussian,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False,0.011235278099775314,0.011235278099775314,15.450769424438477,15.450769424438477,15.450769424438477
general__euc_d256_s34,0.0007028394029475749,0.0007008269894868135,0.0007028394029475749,20.0,0.0,246.7699737548828,0.2458478808403015,0.0,1.0,0.4958101511001587,0.5036934018135071,0.004481982905417681,0.50285804271698,0.0,0.0,5.913273334503174,5.913273334503174,1.0,0.4976666569709778,0.5034999847412109,0.09014909714460373,0.08999090641736984,1.0017578601837158,6.787816524505615,6.781876087188721,1.0008759498596191,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.78579044342041,euclidean,0.0,256,gaussian,gaussian,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False,,,,,
general__euc_d256_s42,0.0007026632083579898,0.0007063809898681939,0.0007026632083579898,20.0,0.0,246.77142333984375,0.24850547313690186,0.0,1.0,0.49847403168678284,0.5080651640892029,0.005394835025072098,0.506983757019043,0.0,0.0,5.91105318069458,5.91105318069458,1.0,0.5053333044052124,0.5011666417121887,0.08994615823030472,0.09000394493341446,0.9993579387664795,6.780140399932861,6.782246112823486,0.999689519405365,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.779046058654785,euclidean,0.0,256,gaussian,gaussian,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False,,,,,
general__euc_d256_s50,0.0007026131497696042,0.0007018851465545595,0.0007026131497696042,20.0,0.0,246.7705841064453,0.2492675930261612,0.0,1.0,0.49922803044319153,0.5102304220199585,0.006237414199858904,0.5090711116790771,0.0,0.0,5.912254333496094,5.912254333496094,1.0,0.49316665530204773,0.5048333406448364,0.09002836048603058,0.09000004082918167,1.000314712524414,6.783217430114746,6.782174587249756,1.0001537799835205,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.782559871673584,euclidean,0.0,256,gaussian,gaussian,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False,,,,,
general__euc_d2_s34,0.07202108949422836,0.073847696185112,0.07202108949422836,38.5,0.0,1.9532815217971802,0.2764202654361725,0.0,1.0,0.5021291375160217,1.3179608583450317,0.15559037029743195,0.8269400000572205,0.0,0.0,0.022169848904013634,0.022169848904013634,1.0,0.4884999990463257,0.5005000233650208,0.10213431715965271,0.0906623974442482,1.1265345811843872,0.5499275922775269,0.5334434509277344,1.0309014320373535,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5427807569503784,euclidean,0.0,2,gaussian,gaussian,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False,0.08168666064739227,0.08168666064739227,1.9548187255859375,1.9548187255859375,1.9548184871673584
general__euc_d2_s42,0.07189220190048218,0.07359945774078369,0.07189220190048218,53.5,0.0,1.9277253150939941,0.32890233397483826,0.0,1.0,0.5460909008979797,1.2993133068084717,0.17474393546581268,0.8663231730461121,0.0,0.0,0.0024931225925683975,0.0024931225925683975,1.0,0.4964999854564667,0.49133333563804626,0.09040195494890213,0.08840153366327286,1.022628903388977,0.533663272857666,0.527102530002594,1.0124467611312866,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5267233848571777,euclidean,0.0,2,gaussian,gaussian,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False,0.06923876702785492,0.06923876702785492,1.9262267351150513,1.9262267351150513,1.9262266159057617
general__euc_d2_s50,0.0718899667263031,0.07279431819915771,0.0718899667263031,38.0,0.0,1.9740283489227295,0.27816930413246155,0.0,1.0,0.5048813223838806,1.2887296676635742,0.15213969349861145,0.8160551190376282,0.0,0.0,0.023253250867128372,0.023253250867128372,1.0,0.47466665506362915,0.4938333332538605,0.10445857048034668,0.08753042668104172,1.1933971643447876,0.5564407110214233,0.52455073595047,1.0607948303222656,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5433322787284851,euclidean,0.0,2,gaussian,gaussian,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False,0.080520398914814,0.080520398914814,1.9597203731536865,1.9597203731536865,1.9597203731536865
general__euc_d3_s34,0.047793153673410416,0.04886705428361893,0.047793153673410416,38.0,0.0,2.8819284439086914,0.3551144599914551,0.0,1.0,0.5678328275680542,1.2824021577835083,0.18050216138362885,0.9136661887168884,0.0,0.0,0.011674361303448677,0.011674361303448677,1.0,0.4988333284854889,0.5065000057220459,0.09008810669183731,0.08987348526716232,1.0023880004882812,0.6767551302909851,0.6767981648445129,0.9999364614486694,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6766956448554993,euclidean,0.0,3,gaussian,gaussian,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False,0.04724174365401268,0.04724174365401268,2.8798508644104004,2.8798508644104004,2.8798506259918213
