,train/loss,train/loss_step,train/loss_epoch,nfe,integ_error,val/rfm_loss,val/rfm_loss_epoch,val/loss,val/loss_epoch,val/loss_best,test/loss,test_vec/rfm_loss,test_vec/alignment,test_vec/finite_fraction,test_vec/norm_mean,test_vec/norm_max,test_vec/norm_std,test_vec/norm_p95,test_vec/tangency_violation_abs,test_vec/tangency_violation_rel,test_sample/sinkhorn_knopp,test_sample/tangent_sinkhorn_knopp,test_sample/tangent_to_geodesic_sinkhorn_ratio,test_sample/epsilon_coverage,test_sample/epsilon_precision,test_sample/frechet_variance_pred,test_sample/frechet_variance_target,test_sample/frechet_variance_ratio,test_sample/dispersion_predicted,test_sample/dispersion_target,test_sample/dispersion_ratio,test_sample/volume_scaling_mean_pred,test_sample/volume_scaling_mean_target,test_sample/volume_scaling_variance_pred,test_sample/volume_scaling_variance_target,test_sample/volume_scaling_gap_target_minus_pred,test_sample/volume_scaling_mean_start,test_sample/volume_scaling_variance_start,test_sample/volume_scaling_gap_start_target,test_sample/finite_fraction,test_sample/geodesic_dist,manifold,curvature,dim,x0_dist,x1_dist,n_samples,std_x0,std_x1,mean_x0,mean_x1,radius_x1,weights,origin,normalize_tangent_distributions,lr-AdamW,test_sample/mmd
general__c0_std0.3_fourier16_seed34,0.12955771386623383,0.12232694029808044,0.12955771386623383,78.0,0.0,0.13354715704917908,0.13354715704917908,2.687154531478882,2.687154531478882,2.687154531478882,2.67976713180542,0.30651500821113586,0.0,1.0,0.4695638418197632,1.237313985824585,0.2929871082305908,1.0103431940078735,0.0,0.0,0.015441801398992538,0.015441801398992538,1.0,0.3876666724681854,0.36550000309944153,0.3310278654098511,0.3260827660560608,1.0151652097702026,1.0340527296066284,1.0248628854751587,1.0089669227600098,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0346808433532715,euclidean,0.0,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
general__c0_std0.3_fourier16_seed42,0.13136394321918488,0.12285533547401428,0.13136394321918488,77.5,0.0,0.13339374959468842,0.13339374959468842,2.684448480606079,2.684448480606079,2.684448480606079,2.684468984603882,0.3058452904224396,0.0,1.0,0.46628978848457336,1.2156410217285156,0.2969484329223633,1.011644959449768,0.0,0.0,0.017507608979940414,0.017507608979940414,1.0,0.3779999911785126,0.3555000126361847,0.32749706506729126,0.33409756422042847,0.9802438020706177,1.0258506536483765,1.0378412008285522,0.9884465932846069,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.034728765487671,euclidean,0.0,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
general__c0_std0.3_fourier16_seed50,0.13001848757266998,0.1354639232158661,0.13001848757266998,75.5,0.0,0.13422603905200958,0.13422603905200958,2.686408758163452,2.686408758163452,2.686408758163452,2.6547255516052246,0.31127506494522095,0.0,1.0,0.47156527638435364,1.2380000352859497,0.2978896498680115,1.0266610383987427,0.0,0.0,0.018912412226200104,0.018912412226200104,1.0,0.3880000114440918,0.3711666762828827,0.31766852736473083,0.3328719735145569,0.9543263912200928,1.0117132663726807,1.0358326435089111,0.9767150282859802,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0174949169158936,euclidean,0.0,2,gaussian,checkerboard,60000,0.3,,"[0.0, 0.0]",,1,,,False,,
general__c0_std0.5_fourier16_seed34,0.21612103283405304,0.2079235017299652,0.21612103283405304,92.0,0.0,0.2173890918493271,0.2173890918493271,1.6628587245941162,1.6628587245941162,1.6628587245941162,1.6466773748397827,0.2782212197780609,0.0,1.0,0.45231425762176514,1.3460605144500732,0.2710101008415222,0.978536069393158,0.0,0.0,0.010953321121633053,0.010953321121633053,1.0,0.4011666774749756,0.38749998807907104,0.32673951983451843,0.3260827660560608,1.0020140409469604,1.0263090133666992,1.0248628854751587,1.0014110803604126,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0308886766433716,euclidean,0.0,2,gaussian,checkerboard,60000,0.5,,"[0.0, 0.0]",,1,,,False,,
general__c0_std0.5_fourier16_seed42,0.2181023359298706,0.21478545665740967,0.2181023359298706,91.5,0.0,0.2134981006383896,0.2134981006383896,1.6158568859100342,1.6158568859100342,1.6158567667007446,1.6210764646530151,0.2989380657672882,0.0,1.0,0.4685116410255432,1.2182347774505615,0.28114065527915955,1.0043916702270508,0.0,0.0,0.010382911190390587,0.010382911190390587,1.0,0.4205000102519989,0.4051666557788849,0.32146337628364563,0.33409756422042847,0.9621841907501221,1.016700029373169,1.0378412008285522,0.9796296954154968,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0296751260757446,euclidean,0.0,2,gaussian,checkerboard,60000,0.5,,"[0.0, 0.0]",,1,,,False,,
general__c0_std0.5_fourier16_seed50,0.2169160395860672,0.22397926449775696,0.2169160395860672,94.5,0.0,0.21872667968273163,0.21872667968273163,1.691020131111145,1.691020131111145,1.691020131111145,1.6471937894821167,0.28429317474365234,0.0,1.0,0.4554257094860077,1.3251218795776367,0.27698642015457153,0.980342447757721,0.0,0.0,0.013752223923802376,0.013752223923802376,1.0,0.41716668009757996,0.40149998664855957,0.31799638271331787,0.3328719735145569,0.9553113579750061,1.0120952129364014,1.0358326435089111,0.9770837426185608,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0169798135757446,euclidean,0.0,2,gaussian,checkerboard,60000,0.5,,"[0.0, 0.0]",,1,,,False,,
general__c0_std0.7_fourier16_seed34,0.3068546652793884,0.2898668944835663,0.3068546652793884,120.0,0.0,0.316879004240036,0.316879004240036,1.4027713537216187,1.4027713537216187,1.4027713537216187,1.4250582456588745,0.31372231245040894,0.0,1.0,0.4364578127861023,2.065871238708496,0.35022586584091187,1.1819672584533691,0.0,0.0,0.016250669956207275,0.016250669956207275,1.0,0.3721666634082794,0.40283334255218506,0.3315839469432831,0.3260827660560608,1.0168704986572266,1.0336402654647827,1.0248628854751587,1.0085644721984863,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0347789525985718,euclidean,0.0,2,gaussian,checkerboard,60000,0.7,,"[0.0, 0.0]",,1,,,False,,
general__c0_std0.7_fourier16_seed42,0.31066080927848816,0.32469791173934937,0.31066080927848816,114.0,0.0,0.3128123879432678,0.3128123879432678,1.3480654954910278,1.3480654954910278,1.3480654954910278,1.3770434856414795,0.3370114862918854,0.0,1.0,0.4631284177303314,2.1598846912384033,0.34902167320251465,1.1681567430496216,0.0,0.0,0.01710948534309864,0.01710948534309864,1.0,0.3798333406448364,0.4074999988079071,0.3289399743080139,0.33409756422042847,0.9845626354217529,1.0276575088500977,1.0378412008285522,0.9901876449584961,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0349547863006592,euclidean,0.0,2,gaussian,checkerboard,60000,0.7,,"[0.0, 0.0]",,1,,,False,,
general__c0_std0.7_fourier16_seed50,0.30799251794815063,0.310261070728302,0.30799251794815063,116.0,0.0,0.31174740195274353,0.31174740195274353,1.3529552221298218,1.3529552221298218,1.3529552221298218,1.3377410173416138,0.3567843437194824,0.0,1.0,0.4797099530696869,2.0228848457336426,0.35526952147483826,1.2227997779846191,0.0,0.0,0.015729472041130066,0.015729472041130066,1.0,0.406333327293396,0.41866666078567505,0.3226701319217682,0.3328719735145569,0.9693520665168762,1.0177595615386963,1.0358326435089111,0.9825521111488342,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.018824577331543,euclidean,0.0,2,gaussian,checkerboard,60000,0.7,,"[0.0, 0.0]",,1,,,False,,
general__t2_d2_std05_ts05_l8_fourier_bs512,0.2084624022245407,0.20396924018859863,0.2084624022245407,100.0,0.0,0.21006013453006744,0.21006013453006744,1.5297369956970215,1.5297369956970215,1.486229658126831,1.5012705326080322,0.3022310733795166,0.0,1.0,0.47408464550971985,1.6463871002197266,0.27824923396110535,0.9649010300636292,0.0,0.0,0.01559121161699295,0.01559121161699295,1.0,0.44716668128967285,0.4724999964237213,0.31576502323150635,0.3344899117946625,0.9440195560455322,0.9648976922035217,0.99837327003479,0.9664698839187622,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9789312481880188,euclidean,0.0,2,gaussian,checkerboard,60000,0.5,,"[0.0, 0.0]",,,,,False,3.160837877658196e-05,0.0008777379989624023
