,train/loss,train/loss_step,lr-AdamW,train/loss_epoch,nfe,integ_error,val/rfm_loss,val/rfm_loss_epoch,val/loss,val/loss_epoch,val/loss_best,test/loss,test_vec/rfm_loss,test_vec/alignment,test_vec/finite_fraction,test_vec/norm_mean,test_vec/norm_max,test_vec/norm_std,test_vec/norm_p95,test_vec/tangency_violation_abs,test_vec/tangency_violation_rel,test_sample/sinkhorn_knopp,test_sample/tangent_sinkhorn_knopp,test_sample/tangent_to_geodesic_sinkhorn_ratio,test_sample/epsilon_coverage,test_sample/epsilon_precision,test_sample/frechet_variance_pred,test_sample/frechet_variance_target,test_sample/frechet_variance_ratio,test_sample/dispersion_predicted,test_sample/dispersion_target,test_sample/dispersion_ratio,test_sample/volume_scaling_mean_pred,test_sample/volume_scaling_mean_target,test_sample/volume_scaling_variance_pred,test_sample/volume_scaling_variance_target,test_sample/volume_scaling_gap_target_minus_pred,test_sample/volume_scaling_mean_start,test_sample/volume_scaling_variance_start,test_sample/volume_scaling_gap_start_target,test_sample/finite_fraction,test_sample/geodesic_dist,manifold,curvature,dim,x0_dist,x1_dist,n_samples,std_x0,std_x1,mean_x0,mean_x1,radius_x1,weights,origin,normalize_tangent_distributions
2026.05.21__162345,0.2252349853515625,0.21771065890789032,9.852721996139735e-05,0.2252349853515625,65.5,1.5447536725332611e-06,0.22989360988140106,0.22989360988140106,4.073792457580566,4.073792457580566,4.073792457580566,4.01889181137085,0.6879029870033264,0.0,1.0,0.7369630336761475,1.5688575506210327,0.38026440143585205,1.4296501874923706,1.0000001111620804e-06,2.048758005912532e-06,0.27941983938217163,0.019021213054656982,0.06807395070791245,0.46433332562446594,0.45533332228660583,1.0690619945526123,1.0374377965927124,1.0304830074310303,1.2364740371704102,1.2231111526489258,1.01092529296875,0.8071242570877075,0.8132384419441223,0.01909915916621685,0.01646130159497261,0.006114184856414795,0.9700312614440918,0.0008761702920310199,-0.15679281949996948,1.0,1.2405457496643066,sphere,1,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162350,0.22544346749782562,0.2352716028690338,9.852721996139735e-05,0.22544346749782562,58.5,2.5480985641479492e-06,0.22967232763767242,0.22967232763767242,4.037382125854492,4.037382125854492,4.037382125854492,4.041802406311035,0.696556806564331,0.0,1.0,0.7445952296257019,1.6255919933319092,0.3764885365962982,1.4276117086410522,1.0000001111620804e-06,2.136907141903066e-06,0.2927720248699188,0.020269624888896942,0.0692334771156311,0.46916666626930237,0.4488333463668823,1.0584266185760498,1.0137182474136353,1.0441033840179443,1.2302457094192505,1.211089015007019,1.0158177614212036,0.8063532114028931,0.8147571086883545,0.018847143277525902,0.016441434621810913,0.008403897285461426,0.9702051877975464,0.0008509794715791941,-0.1554480791091919,1.0,1.220869779586792,sphere,1,3,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162403,2.6190414428710938,2.2528576850891113,9.981419862015173e-05,2.6190414428710938,44.0,0.0,,,,,,2.1770823001861572,5.8974080085754395,0.0,1.0,1.9692424535751343,19.301921844482422,1.412169098854065,4.503355979919434,1.0000001111620804e-06,7.702766993133991e-07,0.4342016875743866,0.01308087445795536,0.030126260593533516,0.4881666600704193,0.46783334016799927,4.913447856903076,5.015000343322754,0.9797502160072327,3.2200756072998047,3.2719085216522217,0.9841580986976624,2.275153398513794,2.3241190910339355,1.1054531335830688,1.2429293394088745,0.0489656925201416,1.0305205583572388,0.0009288997389376163,1.2935985326766968,1.0,3.2208476066589355,poincare,1,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162405,2.6755237579345703,2.574612617492676,9.99248877633363e-05,2.6755237579345703,44.0,0.0,,,,,,2.2235360145568848,5.767218112945557,0.0,1.0,1.9400198459625244,19.354724884033203,1.4083657264709473,4.4261016845703125,1.0000001111620804e-06,7.817246796548716e-07,0.4449405372142792,0.016444578766822815,0.036959048360586166,0.46166667342185974,0.4481666684150696,5.0580830574035645,4.946653842926025,1.0225261449813843,3.255373477935791,3.243072509765625,1.0037928819656372,2.3555173873901367,2.300525426864624,1.4363911151885986,1.1903883218765259,-0.0549919568002224,1.03084135055542,0.0010012990096583962,1.269684076309204,1.0,3.2470905780792236,poincare,1,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162440,0.18173785507678986,0.17528551816940308,9.730680903885514e-05,0.18173785507678986,38.0,0.0,0.18256516754627228,0.18256516754627228,3.653714179992676,3.653714179992676,3.653714179992676,3.6449697017669678,0.7745727300643921,0.0,1.0,0.7849234938621521,1.8938348293304443,0.3976520895957947,1.4836560487747192,0.0,0.0,0.019952189177274704,0.019952189177274704,1.0,0.4625000059604645,0.4519999921321869,0.5836052894592285,0.5539127588272095,1.053605079650879,1.3774112462997437,1.3466870784759521,1.0228146314620972,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.3521003723144531,euclidean,0,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162441,0.18644104897975922,0.19056761264801025,9.833202057052404e-05,0.18644104897975922,38.0,0.0,0.19048118591308594,0.19048118591308594,3.769426107406616,3.769426107406616,3.769426107406616,3.752384662628174,0.7610948085784912,0.0,1.0,0.7766667604446411,1.8064895868301392,0.396888792514801,1.4829601049423218,0.0,0.0,0.04068533331155777,0.04068533331155777,1.0,0.4361666738986969,0.42366665601730347,0.6223233342170715,0.5492957234382629,1.1329476833343506,1.4182934761047363,1.341262936592102,1.0574313402175903,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.3781777620315552,euclidean,0,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162443,0.17686106264591217,0.1610792875289917,9.704670083010569e-05,0.17686106264591217,67.5,0.0,0.17763787508010864,0.17763787508010864,3.6792051792144775,3.6792051792144775,3.6792051792144775,3.705634355545044,0.8268985748291016,0.0,1.0,0.8262405395507812,1.90171480178833,0.3792074918746948,1.4932621717453003,0.0,0.0,0.015279065817594528,0.015279065817594528,1.0,0.4611666798591614,0.4533333480358124,0.6109318137168884,0.5463149547576904,1.118277668952942,1.4134684801101685,1.3372994661331177,1.0569572448730469,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.374326229095459,euclidean,0,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",1,,,False
2026.05.21__162515,2175.828857421875,2261.962890625,9.981419862015173e-05,2175.828857421875,173.0,0.0,,,,,,-2.18402361869812,6324.06689453125,0.0,1.0,33.203033447265625,560.6416015625,72.17748260498047,184.81564331054688,1.0000001111620804e-06,1.05898607216659e-06,0.728253960609436,0.05941564962267876,0.08158644288778305,0.3449999988079071,0.3061666488647461,35.88591766357422,37.94533920288086,0.9457266330718994,10.574814796447754,10.92226791381836,0.9681885838508606,35.40815734863281,40.160003662109375,53.53017807006836,2.9520286261686124e-05,4.7518463134765625,1.0305205583572388,0.0009288997389376163,39.12948226928711,1.0,10.693048477172852,poincare,1,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",4,,,False
2026.05.21__162538,2135.99169921875,2059.91259765625,9.981419862015173e-05,2135.99169921875,165.5,0.0,,,,,,-2.1883084774017334,6242.1748046875,0.0,1.0,32.89501190185547,569.8719482421875,71.6742935180664,183.27919006347656,1.0000001111620804e-06,1.0647368071659002e-06,0.4370232820510864,0.06165097653865814,0.14107023179531097,0.33816665410995483,0.30283331871032715,35.77465057373047,37.96723556518555,0.9422505497932434,10.553961753845215,10.92578125,0.9659686088562012,35.2354736328125,40.158451080322266,53.48317337036133,0.01564018428325653,4.922977447509766,1.0305960178375244,0.0009604442166164517,39.12785339355469,1.0,10.73843765258789,poincare,1,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",4,,,False
2026.05.21__162542,0.3516179621219635,0.33906468749046326,9.969891107175499e-05,0.3516179621219635,91.5,8.225440979003906e-06,,,,,,3.0172975063323975,4.821811676025391,0.0,1.0,2.1791164875030518,2.6956450939178467,0.26935553550720215,2.4936087131500244,1.0003254828916397e-06,4.775038746629434e-07,0.22794142365455627,0.02756907232105732,0.12094804644584656,0.7471666932106018,0.746999979019165,0.3270757496356964,0.30505502223968506,1.0721861124038696,0.6969150304794312,0.680632472038269,1.0239226818084717,0.25912055373191833,0.25299376249313354,0.01970117725431919,0.01690242439508438,-0.006126790773123503,0.9702051877975464,0.0008509794715791941,-0.7172113656997681,1.0,0.6898261904716492,poincare,1,2,gaussian,gaussian-ring,60000,0.3,0.3,"[0.0, 0.0, 0.0]","[0.8, 0.0, 0.0]",4,,,False
